iter	Passed	Remaining
802	910	223
803	911	222
804	912	221
805	913	219
806	914	218
807	915	217
808	916	216
809	917	215
810	917	213
811	918	212
812	919	211
813	920	210
814	921	209
815	922	207
816	923	206
817	923	205
818	924	204
819	925	203
820	926	202
821	927	200
822	928	199
823	929	198
824	930	197
825	931	196
826	932	194
827	932	193
828	933	192
829	934	191
830	935	190
831	936	189
832	937	187
833	938	186
834	938	185
835	939	184
836	940	183
837	941	181
838	942	180
839	942	179
840	943	178
841	944	177
842	945	176
843	946	174
844	947	173
845	948	172
846	949	171
847	949	170
848	950	169
849	951	167
850	952	166
851	953	165
852	954	164
853	955	163
854	956	162
855	956	160
856	957	159
857	958	158
858	959	157
859	960	156
860	961	155
861	962	154
862	962	152
863	963	151
864	964	150
865	965	149
866	966	148
867	967	147
868	968	145
869	968	144
870	969	143
871	970	142
872	971	141
873	972	140
874	973	139
875	974	137
876	975	136
877	976	135
878	976	134
879	977	133
880	978	132
881	979	131
882	980	129
883	981	128
884	982	127
885	983	126
886	983	125
887	984	124
888	985	123
889	986	121
890	987	120
891	988	119
892	989	118
893	989	117
894	990	116
895	991	115
896	992	113
897	993	112
898	994	111
899	995	110
900	995	109
901	996	108
902	997	107
903	998	106
904	999	104
905	1000	103
906	1001	102
907	1002	101
908	1003	100
909	1003	99
910	1004	98
911	1005	97
912	1006	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1010	90
918	1011	89
919	1012	88
920	1013	86
921	1014	85
922	1015	84
923	1016	83
924	1017	82
925	1018	81
926	1018	80
927	1019	79
928	1020	78
929	1021	76
930	1022	75
931	1023	74
932	1024	73
933	1025	72
934	1025	71
935	1026	70
936	1027	69
937	1028	67
938	1029	66
939	1030	65
940	1030	64
941	1031	63
942	1032	62
943	1033	61
944	1034	60
945	1035	59
946	1036	58
947	1037	56
948	1038	55
949	1039	54
950	1040	53
951	1041	52
952	1041	51
953	1042	50
954	1043	49
955	1044	48
956	1045	46
957	1046	45
958	1047	44
959	1047	43
960	1048	42
961	1049	41
962	1050	40
963	1051	39
964	1052	38
965	1053	37
966	1054	35
967	1055	34
968	1056	33
969	1056	32
970	1057	31
971	1058	30
